id,corp_ticker,ratio,rank,emsec_id
0,000020,81.33,1,126
1,000020,18.67,2,80
2,000040,100.0,1,82
3,000050,52.27,1,26
4,000050,47.73,2,107
5,000070,53.06,1,25
6,000070,46.94,2,75
7,000080,100.0,1,77
8,000100,100.0,1,126
9,000120,60.23,1,53
10,000120,39.77,2,55
11,000140,100.0,1,7
12,000150,53.95,1,59
13,000150,46.05,2,47
14,000180,100.0,1,37
15,000210,50.12,1,45
16,000210,49.88,2,25
17,000220,72.52,1,126
18,000220,27.48,2,129
19,000230,100.0,1,126
20,000240,100.0,1,122
21,000250,100.0,1,126
22,000270,100.0,1,82
23,000300,100.0,1,84
24,000320,100.0,1,30
25,000370,100.0,1,3
26,000390,100.0,1,30
27,000400,100.0,1,3
28,000430,100.0,1,84
29,000440,100.0,1,13
30,000480,70.13,1,40
31,000480,29.87,2,62
32,000490,100.0,1,58
33,000500,100.0,1,19
34,000520,100.0,1,126
35,000540,100.0,1,3
36,000590,100.0,1,62
37,000640,54.26,1,126
38,000640,45.74,2,53
39,000650,100.0,1,54
40,000660,100.0,1,109
41,000670,65.41,1,121
42,000670,34.59,2,34
43,000680,100.0,1,2
44,000700,74.28,1,55
45,000700,25.72,2,113
46,000720,76.31,1,45
47,000720,23.69,2,48
48,000760,75.08,1,30
49,000760,24.92,2,8
50,000810,100.0,1,3
51,000850,100.0,1,60
52,000860,62.13,1,30
53,000860,37.87,2,26
54,000880,46.18,1,30
55,000880,28.81,2,5
56,000880,25.0,3,3
57,000890,100.0,1,77
58,000910,48.81,1,50
59,000910,33.03,2,121
60,000910,18.16,3,40
61,000950,100.0,1,90
62,000970,54.67,1,35
63,000970,23.55,2,23
64,000970,21.77,3,92
65,000990,100.0,1,109
66,001000,53.27,1,8
67,001000,46.73,2,118
68,001020,100.0,1,38
69,001040,57.27,1,53
70,001040,42.73,2,75
71,001060,100.0,1,126
72,001070,100.0,1,90
73,001080,100.0,1,35
74,001120,100.0,1,72
75,001130,50.36,1,74
76,001130,49.64,2,75
77,001140,100.0,1,53
78,001200,100.0,1,2
79,001210,100.0,1,120
80,001230,100.0,1,33
81,001250,100.0,1,72
82,001260,63.7,1,46
83,001260,36.3,2,45
84,001270,100.0,1,2
85,001290,100.0,1,2
86,001340,100.0,1,25
87,001360,100.0,1,126
88,001380,100.0,1,84
89,001390,54.19,1,82
90,001390,45.81,2,33
91,001420,63.28,1,84
92,001420,36.72,2,75
93,001430,100.0,1,5
94,001440,74.2,1,64
95,001440,25.8,2,19
96,001450,100.0,1,3
97,001460,72.05,1,90
98,001460,27.95,2,8
99,001470,69.63,1,46
100,001470,30.37,2,7
101,001500,100.0,1,2
102,001510,100.0,1,2
103,001520,75.62,1,50
104,001520,24.38,2,46
105,001530,59.25,1,27
106,001530,40.75,2,34
107,001540,100.0,1,126
108,001550,100.0,1,28
109,001560,100.0,1,62
110,001570,100.0,1,30
111,001620,100.0,1,84
112,001630,55.68,1,129
113,001630,44.32,2,126
114,001680,75.46,1,75
