stock_exchange,corp_ticker,corp_name_listed,corp_name_local,corp_name_en,corp_id,biz_id,date_founded,date_listed,status_listing,ceo_name,addr_local,homepage,tel_no,fax_no,settle_period
K,098120,마이크로컨텍솔,(주)마이크로컨텍솔루션,"Micro Contact Solution Co.,Ltd.",1845110022448.0,6218137017,19991228,2008/09/23,ac,양승은,충청남도 천안시 서북구 성거읍 오송2길 15-21,www.mcsgroup.co.kr,041-621-4331,041-621-4220,12
K,009520,포스코엠텍,(주)포스코엠텍,"POSCO M-TECH CO.,LTD.",1746110000866.0,5068100055,19731227,1997/11/10,ac,Kim Jin-bo,경상북도 포항시 남구  형산강북로 131 포스코엠텍,www.poscomtech.com,054-280-8206,054 -280 -8302,12
Y,095570,AJ네트웍스,AJ네트웍스 주식회사,"AJ Networks Co.,Ltd.",1101111874654.0,2148648586,20000210,2015/08/21,ac,곽정호,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",www.ajnet.co.kr,02-6363-9999,02-6240-0888,12
Y,006840,AK홀딩스,AK홀딩스(주),"AK Holdings, Inc.",1101110029721.0,1138110894,19701013,1999/08/11,ac,"고준, 채형석 (각자 대표이사)",서울특별시 마포구 양화로 188 -,www.aekyunggroup.co.kr,02-768-2923,02-768-2904,12
Y,282330,BGF리테일,(주)비지에프리테일,"BGF retail CO., LTD.",1101116555770.0,8938800792,20171101,2017/12/08,ac,민승배,서울특별시 강남구 테헤란로 405 BGF사옥,www.bgfretail.com,02-1577-8007,02-528-9916,12
Y,027410,BGF,(주)비지에프,"BGF CO., LTD.",1101111105215.0,1208144752,19941201,2014/05/19,ac,홍정국,서울특별시 강남구 테헤란로 405,www.bgf.co.kr,1577-3663,02-528-9916,12
Y,138930,BNK금융지주,(주)BNK금융지주,BNK Financial Group Inc.,1801110750893.0,6058605385,20110315,2011/03/30,ac,빈대인,부산광역시 남구 문현금융로 30(문현동),www.bnkfg.com,051-620-3023,051-620-3040,12
Y,001460,BYC,(주)BYC,"BYC CO.,LTD",1101110005995.0,1188103063,19550513,1975/06/02,ac,김 대 환,서울특별시 영등포구 디지털로38길 27 (주)비와이씨,home.byc.co.kr,02-840-3172,02-840-3177,12
Y,001040,CJ,CJ(주),CJ Corp.,1101110015639.0,1048126714,19530801,1973/06/29,ac,"손경식, 김홍기","서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER)",www.cj.net,02-726-8114,02-726-8112,12
Y,011150,CJ씨푸드,CJ씨푸드(주),CJ SEAFOOD CORPORATION,1101110215578.0,2298112289,19760315,1988/11/26,ac,임항순,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),www.cjseafood.net,031-730-9114,031-746-1606,12
K,058820,CMG제약,(주)CMG제약,"CMG Pharmaceutical Co., Ltd.",1350110115846.0,1348171976,20010801,2001/08/31,ac,이주형,서울특별시 강남구 학동로 170 베터라이프빌딩 3층(논현동),www.cmgpharma.co.kr,031-881-7600,031-881-7670,12
Y,000590,CS홀딩스,CS 홀딩스(주),"CS Holdings Co.,Ltd.",1101110008486.0,2208113170,19490112,1975/12/22,ac,장원영,경상북도 포항시 남구 괴동로 43 (장흥동),www.chosunwelding.com,02-3459-9363,052-237-3311,12
Y,012030,DB,(주) DB Inc.,DB Inc.,1101110210859.0,2118119938,19770315,1993/01/06,ac,"문덕식,강운식 (각자 대표이사)",서울특별시 강남구 삼성로96길 23 7층,www.dbinc.co.kr,02-2136-6000,02-2136-6007,12
Y,005830,DB손해보험,DB손해보험(주),"DB INSURANCE CO.,LTD",1101110095285.0,2018145593,19681101,1973/06/28,ac,"김정남, 정종표",서울특별시 강남구  테헤란로 432,www.idbins.com,02-1588-0100,0505-181-0027,12
Y,016610,DB증권,DB증권(주),"DB Securities Co.,Ltd",1101110339956.0,1168159557,19821220,1988/06/27,ac,곽봉석,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩,dbsec.co.kr,02-369-3000,02-782-6703,12
Y,000990,DB하이텍,주식회사 DB하이텍,"DB HiTek Co.,LTD",1101110026206.0,2118110771,19530428,1975/12/12,ac,조기석,경기도 부천시 수도로 90 (주)DB하이텍,www.dbhitek.co.kr,02-3484-2888,02-550-1899,12
Y,001530,디아이동일,디아이동일(주),DI DONG IL CORPORATION,1101110019219.0,1208114879,19550805,1964/01/04,ac,"서태원, 손재선",서울특별시 강남구  테헤란로 516 정헌빌딩 8층,www.dong-il.com,02-2222-3071,2222-3280,12
Y,000210,DL,디엘 주식회사,"DL Holdings CO.,LTD",1101110084915.0,1168135007,19391010,1976/02/02,ac,김종현,서울특별시 종로구 통일로 134 디타워 돈의문,www.dlholdings.co.kr,02-2011-7114,02-2011-8035,12
Y,375500,DL이앤씨,디엘이앤씨 주식회사,"DL E&C CO.,LTD.",1101117736808.0,6768701904,20210104,2021/01/25,ac,박상신,"서울특별시 강서구 공항대로 165 에이동(마곡동, 원그로브)",www.dlenc.co.kr,02-2011-7114,,12
Y,155660,DSR,DSR(주),DSR CORP,1801110000777.0,6178100224,19650401,2013/05/15,ac,홍석빈,부산광역시 강서구 녹산산업중로192번길 7,www.dsr.com,02-3420-3591,02-3420-3600,12
Y,069730,DSR제강,DSR제강(주),DSR WIRE CORP,1801110004753.0,6178102687,19710901,2003/01/28,ac,"홍하종, 홍석빈 (각자 대표이사)",전라남도 순천시  서면 산단1길 15,www.dsrcorp.com,061-752-0121,061)753-0122,12
Y,017860,DS단석,주식회사 디에스단석,"DS DANSUK CO., LTD.",1341110010839.0,1338122642,19840806,2023/12/22,ac,한승욱,경기도 시흥시 협력로 165,dsdansuk.com,031-488-0700,031)499-3909,12
Y,017940,E1,(주)E1,E1 Corporation,1101110381387.0,1148116585,19840906,1997/08/27,ac,"구자용, 천정식 (각자 대표이사)",서울특별시 용산구 한강대로 92 LS용산타워,www.e1.co.kr,02-3441-4114,(02) 6204-1407,12
Y,365550,ESR켄달스퀘어리츠,이에스알켄달스퀘어위탁관리부동산투자회사주식회사,"ESR Kendall Square REIT Co., Ltd.",1101117398989.0,3828101986,20200220,2020/12/23,ac,조주현,"서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) 35층",www.esrks-reit.com,02-6205-0467,02-6205-0466,5
K,050120,ES큐브,(주)ES큐브,"ES CUBE CO., LTD.",1801110031516.0,6218121761,19770620,2002/04/25,ac,안경환,"서울특별시 강남구 강남대로 556 12층(논현동, 논현빌딩)",www.escube.co.kr,02-3446-4875,02-3446-4873,12
Y,383220,F&F,주식회사 에프앤에프,"F&F CO.,Ltd",1101117875440.0,1538102451,20210503,2021/05/21,ac,김창수,서울특별시 강남구 테헤란로8길 8 -,www.fnf.co.kr,02-520-0027,02-597-1507,12
Y,007700,F&F 홀딩스,주식회사 에프앤에프홀딩스,"F&F Holdings Co., Ltd.",1101110126783.0,2148609977,19720224,1984/10/04,ac,박의헌,서울특별시 강남구 테헤란로8길 8 센터포인트강남,www.fnfholdings.com,02-520-0001,02-597-1507,12
Y,006360,GS건설,지에스건설(주),GS Engineering & Construction Corp,1101110002694.0,1048118121,19691219,1981/08/03,ac,"허창수, 허윤홍(각자 대표이사)",서울특별시 종로구 종로 33 그랑서울,www.gsenc.com,02-2154-1112,02-2154-0807,12
Y,078930,GS,(주)GS,GS Holdings,1101113045112.0,2208687395,20040701,2004/08/05,ac,"허태수, 홍순기 (각자 대표이사)",서울특별시 강남구 논현로 508,-,-,02-2005-8180,12
Y,012630,HDC,에이치디씨(주),"HDC HOLDINGS CO.,Ltd",1101110279433.0,1148158853,19771014,1996/10/16,ac,"정몽규, 김회언 (각자 대표이사)",서울특별시 종로구 경희궁1가길 9 -,www.hdc-holdings.com,02-2008-8607,02-2008-8699,12
Y,294870,HDC현대산업개발,에이치디씨현대산업개발(주),HYUNDAI DEVELOPMENT COMPANY,1101116740008.0,3348600815,20180502,2018/06/12,ac,"정경구, 조태제(각자 대표이사)",서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층,www.hdc-dvp.com,02-2008-9114,,12
Y,097230,HJ중공업,(주)에이치제이중공업,"HJ SHIPBUILDING & CONSTRUCTION CO.,LTD",1801110602507.0,6028142993,20070803,2007/08/31,ac,"김완석, 유상철",부산광역시 영도구  태종로 233 한진중공업,www.hjsc.co.kr,051-410-3114,051-410-8465,12
Y,014790,HL D&I,에이치엘디앤아이한라(주),HL D&I HALLA CORPORATION,1101110274699.0,2158140656,19800502,1994/08/12,ac,홍석화,서울특별시 송파구 올림픽로 289,www.halla.co.kr,02-3434-5114,3434-5131,12
K,024850,HLB이노베이션,에이치엘비이노베이션(주),"HLB innoVation Co.,Ltd.",1101110234312.0,1168116183,19780616,2001/01/18,ac,"김홍철, BRYANBYONGJIN.KIM(각자 대표)",경기도 화성시 향남읍 발안공단로4길 16 구문천리 928,www.hlbinnovation.com,031-522-3700,031-522-3716,12
Y,204320,HL만도,에이치엘만도(주),"HL Mando CO.,LTD",1313110140776.0,1258625094,20140902,2014/10/06,ac,"조성현, 김현욱 (각자대표)",경기도 평택시 포승읍 하만호길 32,www.mando.com,031-680-6114,02-6188-1411,12
