corp_ticker,name,recept_no,flr_nm,recept_date,rm
098120,사업보고서 (2024.12),20250320001270,마이크로컨텍솔,20250320,연
009520,사업보고서 (2024.12),20250313001212,포스코엠텍,20250313,
095570,[기재정정]사업보고서 (2024.12),20250325000220,AJ네트웍스,20250325,연
006840,사업보고서 (2024.12),20250318001263,AK홀딩스,20250318,연
282330,사업보고서 (2024.12),20250318000733,BGF리테일,20250318,연
027410,[기재정정]사업보고서 (2024.12),20250318001407,BGF,20250318,연
138930,사업보고서 (2024.12),20250318001176,BNK금융지주,20250318,연
001460,사업보고서 (2024.12),20250320001026,BYC,20250320,연
001040,[기재정정]사업보고서 (2024.12),20250325000721,CJ,20250325,연
011150,사업보고서 (2024.12),20250317000808,CJ씨푸드,20250317,연
058820,사업보고서 (2024.12),20250320000895,CMG제약,20250320,연
000590,[첨부추가]사업보고서 (2024.12),20250321001425,CS홀딩스,20250321,연
012030,사업보고서 (2024.12),20250320000879,DB,20250320,연
005830,[기재정정]사업보고서 (2024.12),20250814003767,DB손해보험,20250814,연
016610,사업보고서 (2024.12),20250317000605,DB증권,20250317,연
000990,사업보고서 (2024.12),20250312001130,DB하이텍,20250313,연
001530,[기재정정]사업보고서 (2024.12),20250331004012,디아이동일,20250331,연
000210,사업보고서 (2024.12),20250317000751,DL,20250317,연
375500,[기재정정]사업보고서 (2024.12),20250814001988,DL이앤씨,20250814,연
155660,사업보고서 (2024.12),20250227006937,DSR,20250227,연
069730,사업보고서 (2024.12),20250226005968,DSR제강,20250226,
017860,사업보고서 (2024.12),20250321001800,DS단석,20250321,연
017940,[기재정정]사업보고서 (2024.12),20250814000491,E1,20250814,연
365550,사업보고서 (2025.05),20250819000256,ESR켄달스퀘어리츠,20250819,연
365550,사업보고서 (2024.11),20250218000559,ESR켄달스퀘어리츠,20250218,연
050120,사업보고서 (2024.12),20250321001435,ES큐브,20250321,연
383220,사업보고서 (2024.12),20250318001144,F&F,20250318,연
007700,사업보고서 (2024.12),20250318000985,F&F 홀딩스,20250318,연
006360,[기재정정]사업보고서 (2024.12),20250813000906,GS건설,20250813,연
078930,사업보고서 (2024.12),20250318001410,GS,20250318,연
012630,[기재정정]사업보고서 (2024.12),20250812000713,HDC,20250812,연
294870,[기재정정]사업보고서 (2024.12),20250812000514,HDC현대산업개발,20250812,연
097230,[기재정정]사업보고서 (2024.12),20250813000454,HJ중공업,20250813,연
014790,사업보고서 (2024.12),20250317000836,HL D&I,20250317,연
024850,사업보고서 (2024.12),20250312001127,HLB이노베이션,20250313,연
204320,[기재정정]사업보고서 (2024.12),20250326001216,HL만도,20250326,연
060980,[기재정정]사업보고서 (2024.12),20250916000312,HL홀딩스,20250916,연
060980,[기재정정]사업보고서 (2023.12),20250916000279,HL홀딩스,20250916,연
035000,사업보고서 (2024.12),20250311001196,HS애드,20250311,연
003560,사업보고서 (2024.12),20250321000838,아이에이치큐,20250321,연
015360,[기재정정]사업보고서 (2024.12),20250811000385,INVENI,20250811,연
175330,사업보고서 (2024.12),20250319000926,JB금융지주,20250319,연
234080,사업보고서 (2024.12),20250318001174,JW생명과학,20250318,연
001060,사업보고서 (2024.12),20250318001192,JW중외제약,20250318,연
096760,사업보고서 (2024.12),20250318001204,JW홀딩스,20250318,연
105560,[기재정정]사업보고서 (2024.12),20250526000370,KB금융,20250526,연
432320,[기재정정]사업보고서 (2025.07),20251024000148,KB스타리츠,20251024,연
432320,[기재정정]사업보고서 (2025.01),20250417000094,KB스타리츠,20250417,연
024120,사업보고서 (2024.12),20250320001705,KB오토시스,20250320,연
009070,사업보고서 (2024.12),20250313001313,케이씨티시,20250313,연
044180,사업보고서 (2024.12),20250320001744,KD,20250320,연
003620,사업보고서 (2024.12),20250318000528,KG모빌리티,20250318,연
016380,사업보고서 (2024.12),20250318001327,KG스틸,20250318,연
001390,[기재정정]사업보고서 (2024.12),20250814004193,KG케미칼,20250814,연
033180,[기재정정]사업보고서 (2024.12),20250402002557,KH 필룩스,20250402,연
001940,사업보고서 (2024.12),20250320001326,KISCO홀딩스,20250320,연
025000,사업보고서 (2024.12),20250313001177,KPX케미칼,20250313,연
092230,사업보고서 (2024.12),20250313001218,KPX홀딩스,20250313,연
000040,사업보고서 (2024.12),20250319000576,KR모터스,20250319,연
093050,사업보고서 (2024.12),20250318000532,LF,20250318,연
034220,사업보고서 (2024.12),20250312000906,LG디스플레이,20250312,연
003550,사업보고서 (2024.12),20250318001070,LG,20250318,연
051900,사업보고서 (2024.12),20250317000790,LG생활건강,20250317,연
373220,사업보고서 (2024.12),20250312000405,LG에너지솔루션,20250312,연
032640,사업보고서 (2024.12),20250317000701,LG유플러스,20250317,연
011070,[기재정정]사업보고서 (2024.12),20250318001384,LG이노텍,20250318,연
066570,사업보고서 (2024.12),20250317001029,LG전자,20250317,연
051910,[기재정정]사업보고서 (2024.12),20250731000339,LG화학,20250731,연
079550,사업보고서 (2024.12),20250321002001,LIG넥스원,20250321,연
010120,사업보고서 (2024.12),20250317000918,엘에스일렉트릭,20250317,연
000680,[기재정정]사업보고서 (2024.12),20250325000971,LS네트웍스,20250325,연
