ticker,company_name,EMSEC1,EMSEC1_비중(%),EMSEC2,EMSEC2_비중(%),EMSEC3,EMSEC3_비중(%),EMSEC4,EMSEC4_비중(%),EMTEC
000020,동화약품,Pharmaceuticals,81.33,Pharmacy Retail,18.67,,,,,"['Biopharmaceuticals', 'Genomics & Diagnostics', 'Digital Therapeutics']"
000040,KR모터스,Automobiles,100,,,,,,,"['Mobility and Smart Transportation Technologies', 'Battery & Energy Materials']"
000050,경방,Synthetic Rubber & Plastics,52.27,Specialty Retail,47.73,,,,,
000070,삼양홀딩스,Petrochemicals,53.06,Primary Processed Foods,46.94,,,,,
000080,하이트진로,Beverages & Alcohol,100,,,,,,,
000100,유한양행,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
000120,CJ대한통운,Freight Land Transport,60.23,Freight Air Transport,39.77,,,,,"['Process Automation', 'Industrial IoT', 'Cloud Infrastructure']"
000140,하이트진로홀딩스,Other Financial Services,100,,,,,,,
000150,두산,Construction Machinery,53.95,Specialized Construction,46.05,,,,,"['Process Automation', 'Semiconductor Materials', 'Cloud Infrastructure', 'SaaS Platforms', 'Cybersecurity and Authentication Technologies', 'AI and Data Technologies']"
000180,성창기업지주,Lumber,100,,,,,,,['Semiconductor Materials']
000210,DL,Building Construction,50.12,Petrochemicals,49.88,,,,,"['High-performance Polymers & Functional Films', 'Battery & Energy Materials', 'Solar & Wind Power', 'Carbon Capture and Utilization']"
000220,유유제약,Pharmaceuticals,72.52,Health Supplements,27.48,,,,,
000230,일동홀딩스,Pharmaceuticals,100,,,,,,,"['Genomics & Diagnostics', 'Digital Therapeutics', 'Telecommunications and IoT Technologies']"
000240,한국앤컴퍼니,Secondary Batteries,100,,,,,,,['Battery & Energy Materials']
000250,삼천당제약,Pharmaceuticals,100,,,,,,,
000270,기아,Automobiles,100,,,,,,,['Mobility and Smart Transportation Technologies']
000300,DH오토넥스,Auto Parts,100,,,,,,,"['Telecommunications and IoT Technologies', 'Energy Storage Systems', 'Carbon Capture and Utilization', 'Construction, Plant and Heavy Industry Technologies', 'Advanced Optical & Electronic Materials']"
000320,노루홀딩스,Specialty Chemicals,100,,,,,,,
000370,한화손해보험,Insurance,100,,,,,,,['Finance and Risk Analytics Technologies']
000390,삼화페인트,Specialty Chemicals,100,,,,,,,
000400,롯데손해보험,Insurance,100,,,,,,,"['Finance and Risk Analytics Technologies', 'Machine Learning']"
000430,대원강업,Auto Parts,100,,,,,,,
000440,중앙에너비스,Oil Refining & Marketing,100,,,,,,,"['Solar & Wind Power', 'Cloud Infrastructure', 'SaaS Platforms']"
000480,CR홀딩스,Ceramic Products,70.13,Special-purpose Machinery,29.87,,,,,
000490,대동,Agricultural Machinery,100,,,,,,,"['Mobility and Smart Transportation Technologies', 'Construction, Plant and Heavy Industry Technologies']"
000500,가온전선,Electric Power,100,,,,,,,
000520,삼일제약,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
000540,흥국화재,Insurance,100,,,,,,,
000590,CS홀딩스,Special-purpose Machinery,100,,,,,,,
000640,동아쏘시오홀딩스,Pharmaceuticals,54.26,Freight Land Transport,45.74,,,,,
000650,천일고속,Passenger Land Transport,100,,,,,,,
000660,SK하이닉스,Semiconductor Manufacturing,100,,,,,,,['Semiconductor Materials']
000670,영풍,Electronic Components,65.41,Non-ferrous Metals,34.59,,,,,"['Semiconductor Materials', 'Advanced Optical & Electronic Materials', 'Telecommunications and IoT Technologies']"
000680,LS네트웍스,Securities,100,,,,,,,
000700,유수홀딩스,Freight Air Transport,74.28,IT Services,25.72,,,,,"['Cloud Infrastructure', 'SaaS Platforms', 'Telecommunications and IoT Technologies']"
000720,현대건설,Building Construction,76.31,Plant Engineering,23.69,,,,,"['Construction, Plant and Heavy Industry Technologies', 'Hydrogen Energy', 'Carbon Capture and Utilization', 'Energy Storage Systems', 'Solar & Wind Power']"
