corp_code,corp_name,corp_name_eng,krx_code,stock_code,stock_name,corp_cls,corp_cls_l,jurir_no,bizr_no,ceo_nm,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,lst_dt,acc_mt,sec_cls,market_div,stock_type,par_val,iss_shr,modify_date
00568188,(주)마이크로컨텍솔루션,"Micro Contact Solution Co.,Ltd.",KR7098120009,098120,마이크로컨텍솔,K,KOSDAQ,1845110022448,6218137017,양승은,충청남도 천안시 서북구 성거읍 오송2길 15-21,www.mcsgroup.co.kr,,041-621-4331,041-621-4220,2629,19991228,2008/09/23,12,주권,중견기업부,보통주,500,8312766,20230223
00128111,(주)포스코엠텍,"POSCO M-TECH CO.,LTD.",KR7009520008,009520,포스코엠텍,K,KOSDAQ GLOBAL,1746110000866,5068100055,Kim Jin-bo,경상북도 포항시 남구  형산강북로 131 포스코엠텍,www.poscomtech.com,,054-280-8206,054 -280 -8302,24199,19731227,1997/11/10,12,주권,우량기업부,보통주,500,41642703,20250328
00365387,AJ네트웍스 주식회사,"AJ Networks Co.,Ltd.",KR7095570008,095570,AJ네트웍스,Y,KOSPI,1101111874654,2148648586,곽정호,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",www.ajnet.co.kr,,02-6363-9999,02-6240-0888,76320,20000210,2015/08/21,12,주권,,보통주,1000,45252759,20250327
00125080,AK홀딩스(주),"AK Holdings, Inc.",KR7006840003,006840,AK홀딩스,Y,KOSPI,1101110029721,1138110894,"고준, 채형석 (각자 대표이사)",서울특별시 마포구 양화로 188 -,www.aekyunggroup.co.kr,,02-768-2923,02-768-2904,64992,19701013,1999/08/11,12,주권,,보통주,5000,13247561,20250108
01263022,(주)비지에프리테일,"BGF retail CO., LTD.",KR7282330000,282330,BGF리테일,Y,KOSPI,1101116555770,8938800792,민승배,서울특별시 강남구 테헤란로 405 BGF사옥,www.bgfretail.com,,02-1577-8007,02-528-9916,47122,20171101,2017/12/08,12,주권,,보통주,1000,17283906,20250715
00219097,(주)비지에프,"BGF CO., LTD.",KR7027410000,027410,BGF,Y,KOSPI,1101111105215,1208144752,홍정국,서울특별시 강남구 테헤란로 405,www.bgf.co.kr,,1577-3663,02-528-9916,64992,19941201,2014/05/19,12,주권,,보통주,1000,95716791,20250715
00858364,(주)BNK금융지주,BNK Financial Group Inc.,KR7138930003,138930,BNK금융지주,Y,KOSPI,1801110750893,6058605385,빈대인,부산광역시 남구 문현금융로 30(문현동),www.bnkfg.com,,051-620-3023,051-620-3040,64992,20110315,2011/03/30,12,주권,,보통주,5000,314425154,20230320
00122579,(주)BYC,"BYC CO.,LTD",KR7001460005,001460,BYC,Y,KOSPI,1101110005995,1188103063,김 대 환,서울특별시 영등포구 디지털로38길 27 (주)비와이씨,home.byc.co.kr,,02-840-3172,02-840-3177,14120,19550513,1975/06/02,12,주권,,보통주,500,6246150,20230810
00148540,CJ(주),CJ Corp.,KR7001040005,001040,CJ,Y,KOSPI,1101110015639,1048126714,"손경식, 김홍기","서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER)",www.cj.net,,02-726-8114,02-726-8112,64992,19530801,1973/06/29,12,주권,,보통주,5000,29176998,20250806
00129013,CJ씨푸드(주),CJ SEAFOOD CORPORATION,KR7011150000,011150,CJ씨푸드,Y,KOSPI,1101110215578,2298112289,임항순,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),www.cjseafood.net,,031-730-9114,031-746-1606,108,19760315,1988/11/26,12,주권,,보통주,500,35930773,20250106
