corp_ticker,report_nm,rcept_no,flr_nm,rcept_dt,rm,corp_id
950110,사업보고서 (2025.03),20250627000295,SBI핀테크솔루션즈,20250627,연,
290380,사업보고서 (2024.12),20250321001166,대유,20250321,,
049770,사업보고서 (2024.12),20250318001158,동원F&B,20250318,연,
439250,사업보고서 (2024.12),20250312001022,삼성기업인수목적7호,20250312,,
023460,[기재정정]사업보고서 (2024.12),20250401000023,씨앤에이치,20250401,연,
439730,사업보고서 (2024.12),20250313000957,아이비케이에스제20호기업인수목적,20250313,,
019590,[기재정정]사업보고서 (2024.12),20250721000024,에스유앤피,20250721,연,
019590,사업보고서제출기한연장신고서 (2024.12),20250321001788,에스유앤피,20250321,,
435870,사업보고서 (2024.12),20250314001544,에스케이증권제8호기업인수목적,20250314,,
437780,사업보고서 (2024.12),20250318000087,엔에이치기업인수목적24호,20250318,,
438580,사업보고서 (2024.12),20250319000861,엔에이치기업인수목적25호,20250319,,
071460,사업보고서 (2024.12),20250331001973,위니아,20250331,연,
435380,[기재정정]사업보고서 (2024.12),20250304000588,유안타제10호기업인수목적,20250304,,
093230,사업보고서 (2024.12),20250321000678,이아이디,20250321,연,
096040,사업보고서 (2024.12),20250321001953,이트론,20250321,연,
024810,사업보고서 (2024.12),20250321001760,이화전기공업,20250321,연,
024810,[기재정정]사업보고서 (2023.12),20250121000267,이화전기공업,20250121,연,
072520,사업보고서 (2024.12),20250320001736,제넨바이오,20250320,연,
044060,사업보고서 (2024.12),20250320001360,조광아이엘아이,20250320,,
012600,사업보고서 (2024.12),20250321001411,청호ICT,20250321,연,
029960,사업보고서 (2024.12),20250321001548,코엔텍,20250321,,
435620,사업보고서 (2024.12),20250305000369,하나금융25호기업인수목적,20250305,,
226440,[기재정정]사업보고서 (2024.12),20250725000614,시스네오텍,20250725,연,
226440,[기재정정]사업보고서 (2023.12),20250410003175,시스네오텍,20250411,연,
