corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00568188,마이크로컨텍솔,098120,K,사업보고서 (2024.12),20250320001270,마이크로컨텍솔,20250320,연
00128111,포스코엠텍,009520,K,사업보고서 (2024.12),20250313001212,포스코엠텍,20250313,
00365387,AJ네트웍스,095570,Y,[기재정정]사업보고서 (2024.12),20250325000220,AJ네트웍스,20250325,연
00125080,AK홀딩스,006840,Y,사업보고서 (2024.12),20250318001263,AK홀딩스,20250318,연
01263022,BGF리테일,282330,Y,사업보고서 (2024.12),20250318000733,BGF리테일,20250318,연
00219097,BGF,027410,Y,[기재정정]사업보고서 (2024.12),20250318001407,BGF,20250318,연
00858364,BNK금융지주,138930,Y,사업보고서 (2024.12),20250318001176,BNK금융지주,20250318,연
00122579,BYC,001460,Y,사업보고서 (2024.12),20250320001026,BYC,20250320,연
00148540,CJ,001040,Y,[기재정정]사업보고서 (2024.12),20250325000721,CJ,20250325,연
00129013,CJ씨푸드,011150,Y,사업보고서 (2024.12),20250317000808,CJ씨푸드,20250317,연
00380429,CMG제약,058820,K,사업보고서 (2024.12),20250320000895,CMG제약,20250320,연
00149026,CS홀딩스,000590,Y,[첨부추가]사업보고서 (2024.12),20250321001425,CS홀딩스,20250321,연
00163345,DB,012030,Y,사업보고서 (2024.12),20250320000879,DB,20250320,연
00159102,DB손해보험,005830,Y,[기재정정]사업보고서 (2024.12),20250814003767,DB손해보험,20250814,연
00115694,DB증권,016610,Y,사업보고서 (2024.12),20250317000605,DB증권,20250317,연
00160843,DB하이텍,000990,Y,사업보고서 (2024.12),20250312001130,DB하이텍,20250313,연
00118345,디아이동일,001530,Y,[기재정정]사업보고서 (2024.12),20250331004012,디아이동일,20250331,연
00109693,DL,000210,Y,사업보고서 (2024.12),20250317000751,DL,20250317,연
01524093,DL이앤씨,375500,Y,[기재정정]사업보고서 (2024.12),20250814001988,DL이앤씨,20250814,연
00110608,DSR,155660,Y,사업보고서 (2024.12),20250227006937,DSR,20250227,연
00151298,DSR제강,069730,Y,사업보고서 (2024.12),20250226005968,DSR제강,20250226,
00108612,DS단석,017860,Y,사업보고서 (2024.12),20250321001800,DS단석,20250321,연
00165583,E1,017940,Y,[기재정정]사업보고서 (2024.12),20250814000491,E1,20250814,연
01437186,ESR켄달스퀘어리츠,365550,Y,사업보고서 (2025.05),20250819000256,ESR켄달스퀘어리츠,20250819,연
01437186,ESR켄달스퀘어리츠,365550,Y,사업보고서 (2024.11),20250218000559,ESR켄달스퀘어리츠,20250218,연
00175623,ES큐브,050120,K,사업보고서 (2024.12),20250321001435,ES큐브,20250321,연
01568413,F&F,383220,Y,사업보고서 (2024.12),20250318001144,F&F,20250318,연
00126487,F&F 홀딩스,007700,Y,사업보고서 (2024.12),20250318000985,F&F 홀딩스,20250318,연
00120030,GS건설,006360,Y,[기재정정]사업보고서 (2024.12),20250813000906,GS건설,20250813,연
00500254,GS,078930,Y,사업보고서 (2024.12),20250318001410,GS,20250318,연
00164636,HDC,012630,Y,[기재정정]사업보고서 (2024.12),20250812000713,HDC,20250812,연
01310269,HDC현대산업개발,294870,Y,[기재정정]사업보고서 (2024.12),20250812000514,HDC현대산업개발,20250812,연
00633835,HJ중공업,097230,Y,[기재정정]사업보고서 (2024.12),20250813000454,HJ중공업,20250813,연
00161116,HL D&I,014790,Y,사업보고서 (2024.12),20250317000836,HL D&I,20250317,연
00155586,HLB이노베이션,024850,K,사업보고서 (2024.12),20250312001127,HLB이노베이션,20250313,연
01042775,HL만도,204320,Y,[기재정정]사업보고서 (2024.12),20250326001216,HL만도,20250326,연
00299002,HL홀딩스,060980,Y,[기재정정]사업보고서 (2024.12),20250916000312,HL홀딩스,20250916,연
00299002,HL홀딩스,060980,Y,[기재정정]사업보고서 (2023.12),20250916000279,HL홀딩스,20250916,연
00140168,HS애드,035000,Y,사업보고서 (2024.12),20250311001196,HS애드,20250311,연
00154426,아이에이치큐,003560,Y,사업보고서 (2024.12),20250321000838,아이에이치큐,20250321,연
00105101,INVENI,015360,Y,[기재정정]사업보고서 (2024.12),20250811000385,INVENI,20250811,연
00980122,JB금융지주,175330,Y,사업보고서 (2024.12),20250319000926,JB금융지주,20250319,연
00225706,JW생명과학,234080,Y,사업보고서 (2024.12),20250318001174,JW생명과학,20250318,연
00149947,JW중외제약,001060,Y,사업보고서 (2024.12),20250318001192,JW중외제약,20250318,연
00632304,JW홀딩스,096760,Y,사업보고서 (2024.12),20250318001204,JW홀딩스,20250318,연
00688996,KB금융,105560,Y,[기재정정]사업보고서 (2024.12),20250526000370,KB금융,20250526,연
01622720,KB스타리츠,432320,Y,[기재정정]사업보고서 (2025.07),20251024000148,KB스타리츠,20251024,연
